id,english_word,persian_translation,example_sentence,persian_example,phonetic,category,level,created_at,last_reviewed,next_review,ease_factor,repetition,interval,is_favorite
71,actively,به طور فعال,"The company is actively recruiting new staff.","شرکت به طور فعال در حال استخدام نیروی جدید است.","/ˈæk.tɪv.li/","کار","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
72,activity,فعالیت,"Outdoor activities are good for children.","فعالیت‌های بیرون از خانه برای کودکان خوب است.","/ækˈtɪv.ə.ti/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
73,actor,بازیگر مرد,"The actor won an Oscar for his performance.","بازیگر مرد برای اجرایش یک اسکار برد.","/ˈæk.tər/","سرگرمی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.9,0,1,False
74,actress,بازیگر زن,"The actress became famous at a young age.","بازیگر زن در سن جوانی معروف شد.","/ˈæk.trəs/","سرگرمی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
75,actual,واقعی,"The actual cost was higher than we expected.","هزینه واقعی بیشتر از چیزی بود که انتظار داشتیم.","/ˈæk.tʃu.əl/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
76,actually,در واقع,"I thought she was French, but actually she's Belgian.","فکر می‌کردم فرانسوی است، اما در واقع بلژیکی است.","/ˈæk.tʃu.ə.li/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.9,0,1,False
77,acute,حاد,"He suffered from acute pain in his chest.","او از درد حاد در قفسه سینه رنج می‌برد.","/əˈkjuːt/","سلامتی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
78,ad,تبلیغ,"I saw your ad in the newspaper.","تبلیغ شما را در روزنامه دیدم.","/æd/","کسب‌وکار","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
79,adapt,سازگار شدن,"It took time to adapt to the new culture.","زمان برد تا با فرهنگ جدید سازگار شوم.","/əˈdæpt/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
80,adaptable,انعطاف‌پذیر,"Children are usually very adaptable to change.","کودکان معمولاً بسیار به تغییرات انعطاف‌پذیرند.","/əˈdæp.tə.bəl/","روانشناسی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
81,add,اضافه کردن,"Add some sugar to your tea.","به چایت کمی شکر اضافه کن.","/æd/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
82,addict,معتاد,"He became a drug addict in his teens.","او در نوجوانی به یک معتاد مواد مخدر تبدیل شد.","/ˈæd.ɪkt/","سلامتی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.4,0,1,False
83,addicted,معتاد,"She's addicted to social media.","او به شبکه‌های اجتماعی معتاد است.","/əˈdɪk.tɪd/","سلامتی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
84,addiction,اعتیاد,"Smoking can lead to nicotine addiction.","سیگار کشیدن می‌تواند منجر به اعتیاد به نیکوتین شود.","/əˈdɪk.ʃən/","سلامتی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
85,addition,علاوه بر,"In addition to English, she speaks French.","علاوه بر انگلیسی، او فرانسوی هم صحبت می‌کند.","/əˈdɪʃ.ən/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
86,additional,اضافی,"We need additional information.","ما به اطلاعات اضافی نیاز داریم.","/əˈdɪʃ.ən.əl/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
87,additionally,علاوه بر این,"Additionally, we must consider the costs.","علاوه بر این، باید هزینه‌ها را در نظر بگیریم.","/əˈdɪʃ.ən.əl.i/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
88,address,نشانی,"What's your email address?","نشانی ایمیل شما چیست؟","/əˈdres/","عمومی","A1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,2.0,0,1,False
89,address,خطاب کردن,"The president addressed the nation.","رئیس‌جمهور ملت را خطاب کرد.","/əˈdres/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
90,addressee,گیرنده,"The addressee wasn't home when we delivered the package.","گیرنده هنگام تحویل بسته در خانه نبود.","/ˌæd.resˈiː/","عمومی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
91,adequate,کافی,"The hotel provided adequate facilities.","هتل امکانات کافی فراهم کرده بود.","/ˈæd.ə.kwət/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
92,adequately,به اندازه کافی,"The problem wasn't adequately explained.","مشکل به اندازه کافی توضیح داده نشد.","/ˈæd.ə.kwət.li/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
93,adjective,صفت,"'Happy' is an adjective.","'خوشحال' یک صفت است.","/ˈædʒ.ek.tɪv/","دستور زبان","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
94,adjust,تنظیم کردن,"You need to adjust your seat before driving.","قبل از رانندگی باید صندلی خود را تنظیم کنید.","/əˈdʒʌst/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
95,adjustment,تنظیم,"The mechanic made some adjustments to the engine.","مکانیک چند تنظیم روی موتور انجام داد.","/əˈdʒʌst.mənt/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
96,administration,اداره,"The university administration handles all student applications.","اداره دانشگاه تمام درخواست‌های دانشجویی را مدیریت می‌کند.","/ədˌmɪn.ɪˈstreɪ.ʃən/","سازمان","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
97,administrative,اداری,"She has strong administrative skills.","او مهارت‌های اداری قوی دارد.","/ədˈmɪn.ɪ.strə.tɪv/","کار","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
98,admirable,ستودنی,"His dedication to his work is admirable.","فداکاری او در کارش ستودنی است.","/ˈæd.mɪ.rə.bəl/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
99,admiration,تحسین,"I have great admiration for her achievements.","من تحسین زیادی برای دستاوردهای او دارم.","/ˌæd.mɪˈreɪ.ʃən/","احساسات","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
100,admire,تحسین کردن,"I really admire your patience.","من واقعاً صبر شما را تحسین می‌کنم.","/ədˈmaɪər/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
101,admiringly,با تحسین,"She looked at him admiringly.","او با تحسین به او نگاه کرد.","/ədˈmaɪə.rɪŋ.li/","احساسات","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
102,admission,پذیرش,"Hospital admission is required for this treatment.","برای این درمان پذیرش در بیمارستان لازم است.","/ədˈmɪʃ.ən/","سلامتی","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
103,admit,اقرار کردن,"He admitted making a mistake.","او به اشتباه خود اقرار کرد.","/ədˈmɪt/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
104,admittedly,مسلماً,"Admittedly, I was wrong about that.","مسلماً من در آن مورد اشتباه می‌کردم.","/ədˈmɪ.tɪd.li/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
105,adopt,به کارگیری,"The company adopted new policies.","شرکت سیاست‌های جدیدی به کار گرفت.","/əˈdɒpt/","کسب‌وکار","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.7,0,1,False
106,adopted,فرزندخوانده,"Their adopted daughter is from China.","دختر فرزندخوانده‌شان از چین است.","/əˈdɒp.tɪd/","خانواده","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
107,adoption,فرزندخواندگی,"They're going through the adoption process.","آنها در حال طی روند فرزندخواندگی هستند.","/əˈdɒp.ʃən/","خانواده","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
108,adorable,ناز,"Your puppy is absolutely adorable!","توله سگ شما کاملاً ناز است!","/əˈdɔː.rə.bəl/","احساسات","B1",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.8,0,1,False
109,adore,عاشق بودن,"I absolutely adore chocolate.","من کاملاً عاشق شکلات هستم.","/əˈdɔːr/","احساسات","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
110,adorn,آراستن,"The walls were adorned with paintings.","دیوارها با نقاشی‌ها آراسته شده بودند.","/əˈdɔːn/","عمومی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.5,0,1,False
111,adult,بزرگسال,"Adult tickets cost more than children's.","بلیط بزرگسالان گرانتر از کودکان است.","/ˈæd.ʌlt/","عمومی","A2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.9,0,1,False
112,advance,پیشرفت,"Medical advances have saved many lives.","پیشرفت‌های پزشکی جان بسیاری را نجات داده است.","/ədˈvɑːns/","علمی","B2",2025-07-23 12:00:00,2025-07-15 12:00:00,2025-07-28 12:00:00,1.6,0,1,False
